[37,332000,0,14,20]
[0, 15789, 24962, 25364, 18324, 15083, 25361, 14260, 18864, 7334, 18709, 25955, 27341, 19481, 31759, 5251, 19962, 29568, 13458, 16825, 24510, 11014, 23069, 27174, 23148, 26873, 24689, 16495, 31005, 25566, 31195, 28089, 20882, 29918, 5023, 7060, 3805, 9581]
[0, 4411, 2977, 6366, 7712, 424, 5467, 2145, 1761, 2780, 3976, 16826, 6104, 2301, 4440, 5137, 4114, 0, 2187, 998, 6975, 271, 9511, 15577, 8167, 11397, 12, 3204, 7390, 880, 7882, 7135, 9162, 4278, 2667, 7779, 5908, 2581]
[604800, 5411, 4502, 7350, 8656, 3247, 6420, 5340, 3415, 4464, 5093, 17649, 7577, 3870, 5779, 6160, 5015, 1104, 5403, 2117, 7750, 2497, 10329, 16417, 8971, 12380, 1105, 5559, 8375, 1707, 8713, 7964, 10140, 5480, 3591, 10990, 6854, 3779]
[0, 37, 58, 57, 42, 37, 58, 34, 41, 20, 42, 57, 63, 43, 67, 14, 46, 63, 31, 40, 52, 27, 49, 61, 54, 60, 55, 36, 69, 58, 69, 60, 46, 65, 18, 21, 16, 14]
[[0.0, 1065.0, 285.0, 2010.0, 990.0, 345.0, 315.0, 120.0, 1740.0, 1650.0, 945.0, 870.0, 360.0, 420.0, 315.0, 480.0, 1005.0, 420.0, 1425.0, 1455.0, 315.0, 285.0, 315.0, 1470.0, 405.0, 555.0, 660.0, 2175.0, 1050.0, 1185.0, 120.0, 1695.0, 2700.0, 3285.0, 2655.0, 3555.0, 3465.0, 2685.0], 
[1065.0, 0.0, 825.0, 1215.0, 765.0, 810.0, 765.0, 1110.0, 960.0, 855.0, 210.0, 270.0, 720.0, 990.0, 780.0, 1485.0, 1830.0, 1245.0, 645.0, 675.0, 1305.0, 1275.0, 1305.0, 690.0, 750.0, 1545.0, 465.0, 1380.0, 45.0, 405.0, 990.0, 915.0, 1920.0, 2490.0, 1875.0, 2760.0, 2670.0, 1890.0], 
[285.0, 825.0, 0.0, 1770.0, 765.0, 105.0, 75.0, 330.0, 1515.0, 1410.0, 720.0, 645.0, 120.0, 300.0, 75.0, 705.0, 1095.0, 510.0, 1200.0, 1230.0, 525.0, 510.0, 525.0, 1245.0, 180.0, 780.0, 435.0, 1935.0, 810.0, 960.0, 210.0, 1470.0, 2475.0, 3045.0, 2430.0, 3315.0, 3225.0, 2445.0], 
[2010.0, 1215.0, 1770.0, 0.0, 1680.0, 1755.0, 1710.0, 2055.0, 270.0, 390.0, 1335.0, 1335.0, 1665.0, 1935.0, 1725.0, 2430.0, 2775.0, 2190.0, 600.0, 585.0, 2250.0, 2220.0, 2250.0, 540.0, 1695.0, 2490.0, 1395.0, 1050.0, 1170.0, 855.0, 1935.0, 345.0, 705.0, 1305.0, 660.0, 1560.0, 1470.0, 690.0], 
[990.0, 765.0, 765.0, 1680.0, 0.0, 750.0, 690.0, 1035.0, 1410.0, 1320.0, 645.0, 570.0, 660.0, 825.0, 720.0, 1410.0, 1215.0, 810.0, 1095.0, 1125.0, 1245.0, 1215.0, 1245.0, 1140.0, 690.0, 1485.0, 345.0, 1845.0, 750.0, 855.0, 930.0, 1365.0, 2370.0, 2955.0, 2325.0, 3225.0, 3135.0, 2355.0], 
[345.0, 810.0, 105.0, 1755.0, 750.0, 0.0, 60.0, 390.0, 1485.0, 1395.0, 690.0, 630.0, 90.0, 330.0, 30.0, 765.0, 1155.0, 570.0, 1185.0, 1200.0, 600.0, 570.0, 600.0, 1215.0, 165.0, 840.0, 420.0, 1920.0, 795.0, 945.0, 285.0, 1455.0, 2460.0, 3030.0, 2415.0, 3300.0, 3210.0, 2430.0], 
[315.0, 765.0, 75.0, 1710.0, 690.0, 60.0, 0.0, 360.0, 1440.0, 1335.0, 645.0, 570.0, 45.0, 300.0, 15.0, 735.0, 1125.0, 540.0, 1125.0, 1155.0, 570.0, 540.0, 570.0, 1170.0, 120.0, 810.0, 360.0, 1860.0, 750.0, 885.0, 255.0, 1395.0, 2400.0, 2985.0, 2355.0, 3240.0, 3165.0, 2370.0], 
[120.0, 1110.0, 330.0, 2055.0, 1035.0, 390.0, 360.0, 0.0, 1785.0, 1695.0, 990.0, 915.0, 405.0, 450.0, 360.0, 465.0, 1035.0, 435.0, 1470.0, 1500.0, 285.0, 255.0, 285.0, 1515.0, 450.0, 525.0, 705.0, 2220.0, 1095.0, 1230.0, 165.0, 1740.0, 2745.0, 3330.0, 2700.0, 3585.0, 3510.0, 2730.0], 
[1740.0, 960.0, 1515.0, 270.0, 1410.0, 1485.0, 1440.0, 1785.0, 0.0, 135.0, 1065.0, 1065.0, 1395.0, 1665.0, 1455.0, 2160.0, 2505.0, 1935.0, 345.0, 315.0, 1980.0, 1965.0, 1980.0, 285.0, 1440.0, 2235.0, 1140.0, 780.0, 915.0, 585.0, 1665.0, 75.0, 975.0, 1545.0, 930.0, 1815.0, 1725.0, 945.0], 
[1650.0, 855.0, 1410.0, 390.0, 1320.0, 1395.0, 1335.0, 1695.0, 135.0, 0.0, 960.0, 975.0, 1305.0, 1560.0, 1365.0, 2070.0, 2400.0, 1830.0, 240.0, 225.0, 1890.0, 1860.0, 1890.0, 180.0, 1335.0, 2130.0, 1035.0, 765.0, 810.0, 495.0, 1575.0, 60.0, 1095.0, 1665.0, 1050.0, 1935.0, 1845.0, 1065.0], 
[945.0, 210.0, 720.0, 1335.0, 645.0, 690.0, 645.0, 990.0, 1065.0, 960.0, 0.0, 105.0, 600.0, 870.0, 660.0, 1365.0, 1710.0, 1140.0, 750.0, 780.0, 1185.0, 1170.0, 1185.0, 795.0, 645.0, 1440.0, 345.0, 1485.0, 225.0, 510.0, 870.0, 1020.0, 2025.0, 2595.0, 1980.0, 2865.0, 2775.0, 1995.0], 
[870.0, 270.0, 645.0, 1335.0, 570.0, 630.0, 570.0, 915.0, 1065.0, 975.0, 105.0, 0.0, 525.0, 795.0, 585.0, 1290.0, 1650.0, 1065.0, 750.0, 780.0, 1125.0, 1095.0, 1125.0, 795.0, 570.0, 1365.0, 285.0, 1500.0, 270.0, 510.0, 795.0, 1020.0, 2025.0, 2610.0, 1980.0, 2865.0, 2790.0, 2010.0], 
[360.0, 720.0, 120.0, 1665.0, 660.0, 90.0, 45.0, 405.0, 1395.0, 1305.0, 600.0, 525.0, 0.0, 300.0, 60.0, 780.0, 1140.0, 555.0, 1080.0, 1110.0, 600.0, 570.0, 600.0, 1125.0, 90.0, 840.0, 315.0, 1830.0, 705.0, 840.0, 285.0, 1350.0, 2355.0, 2940.0, 2310.0, 3210.0, 3120.0, 2340.0], 
[420.0, 990.0, 300.0, 1935.0, 825.0, 330.0, 300.0, 450.0, 1665.0, 1560.0, 870.0, 795.0, 300.0, 0.0, 300.0, 825.0, 945.0, 390.0, 1350.0, 1380.0, 660.0, 630.0, 660.0, 1395.0, 300.0, 900.0, 585.0, 2085.0, 975.0, 1110.0, 360.0, 1620.0, 2625.0, 3195.0, 2580.0, 3465.0, 3375.0, 2595.0], 
