[29,468820,0,14,20]
[0, 5687, 9059, 11676, 39794, 5529, 7271, 23292, 18169, 14014, 17180, 30563, 7700, 42462, 8088, 26533, 5486, 4809, 42152, 14528, 44078, 15086, 18335, 44714, 18642, 13991, 27503, 27526, 12992, 18507]
[0, 6429, 3692, 6655, 4750, 3010, 10920, 26335, 14625, 7338, 17083, 13777, 2871, 7642, 7566, 18956, 7226, 11304, 10178, 26204, 1088, 14527, 3936, 9278, 3022, 19482, 12914, 22945, 7705, 13321]
[604800, 18019, 4242, 18236, 5897, 4301, 16555, 27281, 16572, 8740, 17789, 15475, 4056, 15047, 16015, 20498, 12332, 13963, 12615, 28001, 3249, 15229, 6292, 10115, 8948, 21237, 13411, 24145, 9914, 13900]
[0, 14, 13, 14, 25, 14, 16, 20, 16, 15, 19, 20, 15, 27, 16, 22, 11, 12, 27, 16, 26, 16, 20, 25, 18, 17, 18, 22, 14, 19]
[[0.0, 360.0, 2415.0, 1680.0, 30.0, 1110.0, 525.0, 1710.0, 510.0, 570.0, 6735.0, 5985.0, 12780.0, 12075.0, 12690.0, 12705.0, 13485.0, 2940.0, 3795.0, 3525.0, 10275.0, 4650.0, 10815.0, 9615.0, 10845.0, 10740.0, 10860.0, 10635.0, 9960.0, 5940.0], 
[360.0, 0.0, 2655.0, 1920.0, 330.0, 1365.0, 780.0, 1965.0, 765.0, 825.0, 6975.0, 6240.0, 13020.0, 12330.0, 12930.0, 12945.0, 13725.0, 3195.0, 4035.0, 3765.0, 10530.0, 4890.0, 11055.0, 9855.0, 11085.0, 10995.0, 11115.0, 10890.0, 10200.0, 6180.0], 
[2415.0, 2655.0, 0.0, 795.0, 2385.0, 2910.0, 1935.0, 750.0, 2355.0, 1905.0, 4365.0, 3615.0, 11565.0, 10875.0, 11490.0, 11490.0, 12285.0, 1740.0, 2580.0, 2325.0, 9075.0, 3780.0, 9270.0, 8070.0, 9300.0, 9195.0, 9315.0, 9090.0, 8415.0, 3540.0], 
[1680.0, 1920.0, 795.0, 0.0, 1650.0, 2190.0, 1200.0, 60.0, 1620.0, 1155.0, 5130.0, 4395.0, 11130.0, 10440.0, 11040.0, 11055.0, 11835.0, 1305.0, 2145.0, 1875.0, 8625.0, 3870.0, 9645.0, 8445.0, 9675.0, 9570.0, 9690.0, 9465.0, 8790.0, 4305.0], 
[30.0, 330.0, 2385.0, 1650.0, 0.0, 1080.0, 510.0, 1695.0, 495.0, 555.0, 6705.0, 5970.0, 12750.0, 12060.0, 12660.0, 12675.0, 13455.0, 2925.0, 3765.0, 3495.0, 10260.0, 4620.0, 10785.0, 9585.0, 10815.0, 10710.0, 10830.0, 10605.0, 9930.0, 5910.0], 
[1110.0, 1365.0, 2910.0, 2190.0, 1080.0, 0.0, 1095.0, 2235.0, 615.0, 1140.0, 7140.0, 6405.0, 13290.0, 12600.0, 13215.0, 13215.0, 13995.0, 3465.0, 4305.0, 4035.0, 10800.0, 4365.0, 10575.0, 9375.0, 10605.0, 10500.0, 10620.0, 10395.0, 9720.0, 6435.0], 
[525.0, 780.0, 1935.0, 1200.0, 510.0, 1095.0, 0.0, 1245.0, 510.0, 90.0, 6255.0, 5520.0, 12300.0, 11610.0, 12210.0, 12225.0, 13005.0, 2475.0, 3315.0, 3045.0, 9810.0, 4305.0, 10350.0, 9150.0, 10380.0, 10290.0, 10410.0, 10170.0, 9495.0, 5460.0], 
[1710.0, 1965.0, 750.0, 60.0, 1695.0, 2235.0, 1245.0, 0.0, 1665.0, 1200.0, 5100.0, 4350.0, 11070.0, 10380.0, 10980.0, 10995.0, 11775.0, 1245.0, 2085.0, 1815.0, 8580.0, 3885.0, 9660.0, 8460.0, 9690.0, 9585.0, 9705.0, 9480.0, 8805.0, 4275.0], 
[510.0, 765.0, 2355.0, 1620.0, 495.0, 615.0, 510.0, 1665.0, 0.0, 540.0, 6675.0, 5940.0, 12720.0, 12030.0, 12630.0, 12645.0, 13425.0, 2895.0, 3735.0, 3465.0, 10230.0, 4185.0, 10350.0, 9150.0, 10380.0, 10275.0, 10395.0, 10170.0, 9495.0, 5880.0], 
[570.0, 825.0, 1905.0, 1155.0, 555.0, 1140.0, 90.0, 1200.0, 540.0, 0.0, 6225.0, 5475.0, 12255.0, 11565.0, 12180.0, 12180.0, 12975.0, 2430.0, 3270.0, 3015.0, 9765.0, 4260.0, 10320.0, 9120.0, 10350.0, 10245.0, 10365.0, 10140.0, 9465.0, 5430.0], 
[6735.0, 6975.0, 4365.0, 5130.0, 6705.0, 7140.0, 6255.0, 5100.0, 6675.0, 6225.0, 0.0, 765.0, 12090.0, 11355.0, 12000.0, 12015.0, 12255.0, 6075.0, 6915.0, 6645.0, 9810.0, 5655.0, 9720.0, 8535.0, 9750.0, 9660.0, 9780.0, 9555.0, 8865.0, 4095.0], 
[5985.0, 6240.0, 3615.0, 4395.0, 5970.0, 6405.0, 5520.0, 4350.0, 5940.0, 5475.0, 765.0, 0.0, 12045.0, 11325.0, 11970.0, 11970.0, 12720.0, 5325.0, 6165.0, 5910.0, 9750.0, 4920.0, 9420.0, 8220.0, 9450.0, 9345.0, 9465.0, 9240.0, 8565.0, 3540.0], 
[12780.0, 13020.0, 11565.0, 11130.0, 12750.0, 13290.0, 12300.0, 11070.0, 12720.0, 12255.0, 12090.0, 12045.0, 0.0, 750.0, 105.0, 75.0, 1230.0, 10185.0, 10065.0, 9570.0, 2490.0, 11865.0, 5640.0, 6420.0, 5640.0, 5580.0, 5625.0, 5775.0, 6075.0, 10350.0], 
[12075.0, 12330.0, 10875.0, 10440.0, 12060.0, 12600.0, 11610.0, 10380.0, 12030.0, 11565.0, 11355.0, 11325.0, 750.0, 0.0, 675.0, 675.0, 1485.0, 9495.0, 9360.0, 8865.0, 1800.0, 12225.0, 6030.0, 6810.0, 6045.0, 5970.0, 6015.0, 6165.0, 6465.0, 9615.0], 
[12690.0, 12930.0, 11490.0, 11040.0, 12660.0, 13215.0, 12210.0, 10980.0, 12630.0, 12180.0, 12000.0, 11970.0, 105.0, 675.0, 0.0, 30.0, 1155.0, 10110.0, 9975.0, 9480.0, 2415.0, 11790.0, 5550.0, 6345.0, 5565.0, 5490.0, 5535.0, 5685.0, 5985.0, 10260.0], 
[12705.0, 12945.0, 11490.0, 11055.0, 12675.0, 13215.0, 12225.0, 10995.0, 12645.0, 12180.0, 12015.0, 11970.0, 75.0, 675.0, 30.0, 0.0, 1155.0, 10110.0, 9990.0, 9495.0, 2415.0, 11790.0, 5565.0, 6345.0, 5565.0, 5505.0, 5550.0, 5700.0, 6000.0, 10260.0], 
[13485.0, 13725.0, 12285.0, 11835.0, 13455.0, 13995.0, 13005.0, 11775.0, 13425.0, 12975.0, 12255.0, 12720.0, 1230.0, 1485.0, 1155.0, 1155.0, 0.0, 10905.0, 10770.0, 10275.0, 3210.0, 10845.0, 4665.0, 5415.0, 4680.0, 4605.0, 4650.0, 4800.0, 5070.0, 11010.0], 
[2940.0, 3195.0, 1740.0, 1305.0, 2925.0, 3465.0, 2475.0, 1245.0, 2895.0, 2430.0, 6075.0, 5325.0, 10185.0, 9495.0, 10110.0, 10110.0, 10905.0, 0.0, 1170.0, 900.0, 7695.0, 5070.0, 10800.0, 9600.0, 10830.0, 10740.0, 10860.0, 10635.0, 9945.0, 5235.0], 
[3795.0, 4035.0, 2580.0, 2145.0, 3765.0, 4305.0, 3315.0, 2085.0, 3735.0, 3270.0, 6915.0, 6165.0, 10065.0, 9360.0, 9975.0, 9990.0, 10770.0, 1170.0, 0.0, 720.0, 7560.0, 5925.0, 11655.0, 10455.0, 11685.0, 11580.0, 11700.0, 11475.0, 10800.0, 6075.0], 
[3525.0, 3765.0, 2325.0, 1875.0, 3495.0, 4035.0, 3045.0, 1815.0, 3465.0, 3015.0, 6645.0, 5910.0, 9570.0, 8865.0, 9480.0, 9495.0, 10275.0, 900.0, 720.0, 0.0, 7065.0, 5655.0, 11385.0, 10185.0, 11415.0, 11310.0, 11430.0, 11205.0, 10530.0, 5805.0], 
[10275.0, 10530.0, 9075.0, 8625.0, 10260.0, 10800.0, 9810.0, 8580.0, 10230.0, 9765.0, 9810.0, 9750.0, 2490.0, 1800.0, 2415.0, 2415.0, 3210.0, 7695.0, 7560.0, 7065.0, 0.0, 12405.0, 7770.0, 8520.0, 7785.0, 7710.0, 7755.0, 7905.0, 8175.0, 8025.0], 
[4650.0, 4890.0, 3780.0, 3870.0, 4620.0, 4365.0, 4305.0, 3885.0, 4185.0, 4260.0, 5655.0, 4920.0, 11865.0, 12225.0, 11790.0, 11790.0, 10845.0, 5070.0, 5925.0, 5655.0, 12405.0, 0.0, 6735.0, 5535.0, 6765.0, 6660.0, 6780.0, 6555.0, 5880.0, 6570.0], 
[10815.0, 11055.0, 9270.0, 9645.0, 10785.0, 10575.0, 10350.0, 9660.0, 10350.0, 10320.0, 9720.0, 9420.0, 5640.0, 6030.0, 5550.0, 5565.0, 4665.0, 10800.0, 11655.0, 11385.0, 7770.0, 6735.0, 0.0, 1275.0, 60.0, 195.0, 75.0, 390.0, 900.0, 11415.0], 
[9615.0, 9855.0, 8070.0, 8445.0, 9585.0, 9375.0, 9150.0, 8460.0, 9150.0, 9120.0, 8535.0, 8220.0, 6420.0, 6810.0, 6345.0, 6345.0, 5415.0, 9600.0, 10455.0, 10185.0, 8520.0, 5535.0, 1275.0, 0.0, 1305.0, 1200.0, 1320.0, 1095.0, 420.0, 10215.0], 
[10845.0, 11085.0, 9300.0, 9675.0, 10815.0, 10605.0, 10380.0, 9690.0, 10380.0, 10350.0, 9750.0, 9450.0, 5640.0, 6045.0, 5565.0, 5565.0, 4680.0, 10830.0, 11685.0, 11415.0, 7785.0, 6765.0, 60.0, 1305.0, 0.0, 225.0, 60.0, 420.0, 930.0, 11445.0], 
[10740.0, 10995.0, 9195.0, 9570.0, 10710.0, 10500.0, 10290.0, 9585.0, 10275.0, 10245.0, 9660.0, 9345.0, 5580.0, 5970.0, 5490.0, 5505.0, 4605.0, 10740.0, 11580.0, 11310.0, 7710.0, 6660.0, 195.0, 1200.0, 225.0, 0.0, 240.0, 315.0, 825.0, 11340.0], 
[10860.0, 11115.0, 9315.0, 9690.0, 10830.0, 10620.0, 10410.0, 9705.0, 10395.0, 10365.0, 9780.0, 9465.0, 5625.0, 6015.0, 5535.0, 5550.0, 4650.0, 10860.0, 11700.0, 11430.0, 7755.0, 6780.0, 75.0, 1320.0, 60.0, 240.0, 0.0, 435.0, 945.0, 11460.0], 
[10635.0, 10890.0, 9090.0, 9465.0, 10605.0, 10395.0, 10170.0, 9480.0, 10170.0, 10140.0, 9555.0, 9240.0, 5775.0, 6165.0, 5685.0, 5700.0, 4800.0, 10635.0, 11475.0, 11205.0, 7905.0, 6555.0, 390.0, 1095.0, 420.0, 315.0, 435.0, 0.0, 720.0, 11235.0], 
[9960.0, 10200.0, 8415.0, 8790.0, 9930.0, 9720.0, 9495.0, 8805.0, 9495.0, 9465.0, 8865.0, 8565.0, 6075.0, 6465.0, 5985.0, 6000.0, 5070.0, 9945.0, 10800.0, 10530.0, 8175.0, 5880.0, 900.0, 420.0, 930.0, 825.0, 945.0, 720.0, 0.0, 10560.0], 
