[38,332000,0,14,20]
[0, 27263, 30201, 9397, 12242, 25660, 15315, 5860, 31214, 32827, 8129, 29153, 30218, 27399, 25392, 12182, 21340, 14353, 12316, 14011, 22891, 18788, 25658, 26740, 10683, 12330, 10755, 23336, 26872, 4114, 4006, 18181, 23411, 24012, 7737, 9431, 26317, 15424, 31867]
[0, 10350, 5678, 558, 2064, 3403, 2719, 6286, 3484, 3312, 0, 139, 793, 11342, 843, 1822, 1896, 1771, 3093, 1648, 204, 6397, 4555, 1456, 6991, 3795, 1104, 208, 159, 1556, 2194, 8917, 6139, 5276, 6886, 456, 4292, 318, 1107]
[604800, 11426, 6589, 2056, 2827, 4228, 3655, 7181, 4396, 4433, 836, 1303, 1859, 12895, 1712, 3297, 2750, 3523, 4608, 2542, 1531, 7291, 5484, 2551, 7795, 4857, 2094, 1179, 2283, 4288, 4551, 9725, 6915, 6221, 8012, 2238, 5918, 1309, 2242]
[0, 60, 69, 24, 30, 59, 37, 17, 67, 69, 22, 62, 65, 63, 55, 28, 47, 35, 28, 32, 52, 41, 57, 57, 28, 32, 28, 52, 57, 15, 15, 43, 51, 52, 21, 27, 60, 39, 17]
[[0.0, 1065.0, 285.0, 2010.0, 990.0, 345.0, 315.0, 120.0, 780.0, 1740.0, 1650.0, 945.0, 870.0, 360.0, 420.0, 315.0, 480.0, 1005.0, 420.0, 1425.0, 1455.0, 315.0, 285.0, 315.0, 1470.0, 405.0, 555.0, 660.0, 2175.0, 1050.0, 1185.0, 120.0, 1695.0, 2700.0, 3285.0, 2655.0, 3555.0, 3465.0, 2685.0], 
[1065.0, 0.0, 825.0, 1215.0, 765.0, 810.0, 765.0, 1110.0, 1785.0, 960.0, 855.0, 210.0, 270.0, 720.0, 990.0, 780.0, 1485.0, 1830.0, 1245.0, 645.0, 675.0, 1305.0, 1275.0, 1305.0, 690.0, 750.0, 1545.0, 465.0, 1380.0, 45.0, 405.0, 990.0, 915.0, 1920.0, 2490.0, 1875.0, 2760.0, 2670.0, 1890.0], 
[285.0, 825.0, 0.0, 1770.0, 765.0, 105.0, 75.0, 330.0, 1005.0, 1515.0, 1410.0, 720.0, 645.0, 120.0, 300.0, 75.0, 705.0, 1095.0, 510.0, 1200.0, 1230.0, 525.0, 510.0, 525.0, 1245.0, 180.0, 780.0, 435.0, 1935.0, 810.0, 960.0, 210.0, 1470.0, 2475.0, 3045.0, 2430.0, 3315.0, 3225.0, 2445.0], 
[2010.0, 1215.0, 1770.0, 0.0, 1680.0, 1755.0, 1710.0, 2055.0, 2730.0, 270.0, 390.0, 1335.0, 1335.0, 1665.0, 1935.0, 1725.0, 2430.0, 2775.0, 2190.0, 600.0, 585.0, 2250.0, 2220.0, 2250.0, 540.0, 1695.0, 2490.0, 1395.0, 1050.0, 1170.0, 855.0, 1935.0, 345.0, 705.0, 1305.0, 660.0, 1560.0, 1470.0, 690.0], 
[990.0, 765.0, 765.0, 1680.0, 0.0, 750.0, 690.0, 1035.0, 1710.0, 1410.0, 1320.0, 645.0, 570.0, 660.0, 825.0, 720.0, 1410.0, 1215.0, 810.0, 1095.0, 1125.0, 1245.0, 1215.0, 1245.0, 1140.0, 690.0, 1485.0, 345.0, 1845.0, 750.0, 855.0, 930.0, 1365.0, 2370.0, 2955.0, 2325.0, 3225.0, 3135.0, 2355.0], 
[345.0, 810.0, 105.0, 1755.0, 750.0, 0.0, 60.0, 390.0, 1065.0, 1485.0, 1395.0, 690.0, 630.0, 90.0, 330.0, 30.0, 765.0, 1155.0, 570.0, 1185.0, 1200.0, 600.0, 570.0, 600.0, 1215.0, 165.0, 840.0, 420.0, 1920.0, 795.0, 945.0, 285.0, 1455.0, 2460.0, 3030.0, 2415.0, 3300.0, 3210.0, 2430.0], 
