[39,468820,0,14,20]
[0, 24021, 13604, 13960, 20466, 10375, 12164, 37673, 11818, 11932, 31071, 13833, 40882, 32538, 15934, 32843, 44486, 6935, 34560, 27979, 31617, 46181, 15963, 5245, 42161, 26903, 20006, 26585, 6126, 20785, 6385, 23122, 30774, 7553, 25186, 5375, 33218, 34809, 15180, 17972]
[0, 2982, 3314, 28381, 18001, 10765, 15909, 11089, 2713, 9436, 19706, 14578, 11526, 25747, 11678, 13380, 3716, 13557, 27734, 14359, 9523, 381, 7476, 3028, 6660, 3066, 8787, 27200, 14082, 727, 0, 764, 11218, 8210, 8320, 8295, 25016, 16143, 1526, 12492]
[604800, 4774, 6773, 29789, 29459, 15554, 17625, 11635, 7858, 11416, 27399, 15959, 12094, 26737, 12506, 14352, 6273, 14191, 28860, 18910, 11266, 3468, 9000, 6833, 7603, 11053, 13107, 31557, 15151, 2939, 886, 2748, 15491, 10487, 9667, 8841, 25533, 18918, 2409, 13789]
[0, 21, 18, 18, 19, 15, 16, 25, 15, 17, 23, 18, 27, 22, 18, 25, 25, 12, 26, 19, 23, 29, 19, 12, 25, 23, 17, 20, 13, 21, 13, 19, 23, 12, 21, 14, 24, 24, 17, 12]
[[0.0, 7695.0, 7935.0, 7590.0, 8430.0, 7605.0, 8160.0, 6480.0, 7665.0, 7635.0, 6780.0, 9270.0, 9060.0, 9060.0, 9210.0, 9225.0, 9285.0, 9060.0, 6405.0, 6885.0, 6570.0, 6870.0, 5385.0, 5595.0, 4980.0, 5655.0, 4065.0, 11385.0, 10320.0, 11850.0, 12585.0, 11850.0, 11790.0, 11835.0, 11985.0, 11970.0, 7350.0, 10695.0, 6510.0, 3405.0], 
[7695.0, 0.0, 345.0, 90.0, 840.0, 750.0, 570.0, 1215.0, 30.0, 165.0, 945.0, 6240.0, 5535.0, 5460.0, 4605.0, 5055.0, 6000.0, 5505.0, 12120.0, 12600.0, 12285.0, 12585.0, 3210.0, 2460.0, 3030.0, 2415.0, 9780.0, 5460.0, 4275.0, 10335.0, 9135.0, 10365.0, 10260.0, 10380.0, 10155.0, 10155.0, 5445.0, 5010.0, 1200.0, 3915.0], 
[7935.0, 345.0, 0.0, 360.0, 555.0, 990.0, 285.0, 1470.0, 330.0, 405.0, 1185.0, 6495.0, 5790.0, 5715.0, 4845.0, 5310.0, 6255.0, 5745.0, 12375.0, 12855.0, 12525.0, 12825.0, 3465.0, 2700.0, 3285.0, 2655.0, 10035.0, 5655.0, 4470.0, 10590.0, 9390.0, 10620.0, 10515.0, 10635.0, 10410.0, 10410.0, 5700.0, 5250.0, 1455.0, 4170.0], 
[7590.0, 90.0, 360.0, 0.0, 840.0, 660.0, 570.0, 1125.0, 75.0, 90.0, 840.0, 6150.0, 5445.0, 5370.0, 4515.0, 4965.0, 5910.0, 5400.0, 12030.0, 12510.0, 12180.0, 12480.0, 3120.0, 2355.0, 2940.0, 2310.0, 9690.0, 5355.0, 4185.0, 10245.0, 9045.0, 10275.0, 10170.0, 10290.0, 10065.0, 10065.0, 5355.0, 4920.0, 1110.0, 3825.0], 
[8430.0, 840.0, 555.0, 840.0, 0.0, 1485.0, 330.0, 1965.0, 825.0, 885.0, 1680.0, 6975.0, 6270.0, 6195.0, 5340.0, 5790.0, 6735.0, 6240.0, 12855.0, 13335.0, 13020.0, 13320.0, 3945.0, 3195.0, 3765.0, 3150.0, 10530.0, 6090.0, 4890.0, 11055.0, 9855.0, 11085.0, 10995.0, 11115.0, 10890.0, 10875.0, 6180.0, 5745.0, 1950.0, 4665.0], 
[7605.0, 750.0, 990.0, 660.0, 1485.0, 0.0, 1215.0, 1140.0, 720.0, 690.0, 855.0, 6135.0, 5430.0, 5355.0, 4500.0, 4950.0, 5895.0, 5400.0, 12045.0, 12525.0, 12195.0, 12495.0, 3135.0, 2370.0, 2955.0, 2325.0, 9705.0, 5145.0, 3945.0, 10050.0, 8850.0, 10095.0, 9990.0, 10110.0, 9885.0, 9870.0, 5370.0, 4740.0, 1125.0, 3840.0], 
[8160.0, 570.0, 285.0, 570.0, 330.0, 1215.0, 0.0, 1695.0, 555.0, 615.0, 1410.0, 6705.0, 6000.0, 5925.0, 5070.0, 5520.0, 6465.0, 5970.0, 12585.0, 13065.0, 12750.0, 13050.0, 3675.0, 2925.0, 3495.0, 2880.0, 10260.0, 5805.0, 4620.0, 10785.0, 9585.0, 10815.0, 10710.0, 10830.0, 10605.0, 10605.0, 5910.0, 5475.0, 1680.0, 4395.0], 
[6480.0, 1215.0, 1470.0, 1125.0, 1965.0, 1140.0, 1695.0, 0.0, 1200.0, 1155.0, 315.0, 5100.0, 4395.0, 4320.0, 3465.0, 3915.0, 4860.0, 4350.0, 10905.0, 11385.0, 11070.0, 11370.0, 1995.0, 1245.0, 1815.0, 1200.0, 8580.0, 4980.0, 3885.0, 9660.0, 8460.0, 9690.0, 9585.0, 9705.0, 9480.0, 9480.0, 4275.0, 4320.0, 45.0, 2715.0], 
[7665.0, 30.0, 330.0, 75.0, 825.0, 720.0, 555.0, 1200.0, 0.0, 150.0, 915.0, 6225.0, 5505.0, 5445.0, 4575.0, 5040.0, 5985.0, 5475.0, 12105.0, 12585.0, 12255.0, 12555.0, 3195.0, 2430.0, 3015.0, 2385.0, 9765.0, 5430.0, 4260.0, 10320.0, 9120.0, 10350.0, 10245.0, 10365.0, 10140.0, 10140.0, 5430.0, 4980.0, 1185.0, 3900.0], 
[7635.0, 165.0, 405.0, 90.0, 885.0, 690.0, 615.0, 1155.0, 150.0, 0.0, 885.0, 6180.0, 5475.0, 5400.0, 4545.0, 4995.0, 5940.0, 5445.0, 12060.0, 12540.0, 12225.0, 12525.0, 3150.0, 2400.0, 2970.0, 2355.0, 9720.0, 5400.0, 4230.0, 10275.0, 9075.0, 10305.0, 10200.0, 10335.0, 10095.0, 10095.0, 5385.0, 4950.0, 1155.0, 3870.0], 
[6780.0, 945.0, 1185.0, 840.0, 1680.0, 855.0, 1410.0, 315.0, 915.0, 885.0, 0.0, 5355.0, 4650.0, 4575.0, 3705.0, 4170.0, 5115.0, 4605.0, 11220.0, 11700.0, 11370.0, 11670.0, 2310.0, 1545.0, 2130.0, 1500.0, 8880.0, 4935.0, 3825.0, 9690.0, 8490.0, 9720.0, 9615.0, 9750.0, 9510.0, 9510.0, 4545.0, 4365.0, 300.0, 3015.0], 
[9270.0, 6240.0, 6495.0, 6150.0, 6975.0, 6135.0, 6705.0, 5100.0, 6225.0, 6180.0, 5355.0, 0.0, 720.0, 795.0, 1635.0, 1260.0, 330.0, 765.0, 11925.0, 12405.0, 12090.0, 12375.0, 6825.0, 6075.0, 6645.0, 6030.0, 9810.0, 6300.0, 5655.0, 9720.0, 8535.0, 9750.0, 9660.0, 9780.0, 9555.0, 9540.0, 4095.0, 4800.0, 5130.0, 7530.0], 
[9060.0, 5535.0, 5790.0, 5445.0, 6270.0, 5430.0, 6000.0, 4395.0, 5505.0, 5475.0, 4650.0, 720.0, 0.0, 90.0, 930.0, 555.0, 480.0, 60.0, 11880.0, 12360.0, 12045.0, 12330.0, 6120.0, 5355.0, 5940.0, 5325.0, 9735.0, 5595.0, 4950.0, 9450.0, 8250.0, 9480.0, 9375.0, 9510.0, 9270.0, 9270.0, 3555.0, 4095.0, 4425.0, 6825.0], 
[9060.0, 5460.0, 5715.0, 5370.0, 6195.0, 5355.0, 5925.0, 4320.0, 5445.0, 5400.0, 4575.0, 795.0, 90.0, 0.0, 855.0, 480.0, 555.0, 45.0, 11895.0, 12375.0, 12045.0, 12345.0, 6045.0, 5280.0, 5865.0, 5250.0, 9735.0, 5520.0, 4875.0, 9375.0, 8175.0, 9405.0, 9315.0, 9435.0, 9195.0, 9195.0, 3510.0, 4020.0, 4350.0, 6750.0], 
[9210.0, 4605.0, 4845.0, 4515.0, 5340.0, 4500.0, 5070.0, 3465.0, 4575.0, 4545.0, 3705.0, 1635.0, 930.0, 855.0, 0.0, 450.0, 1395.0, 900.0, 12045.0, 12525.0, 12195.0, 12495.0, 5190.0, 4440.0, 5010.0, 4395.0, 9885.0, 4650.0, 4020.0, 8520.0, 7320.0, 8550.0, 8445.0, 8565.0, 8340.0, 8340.0, 3180.0, 3165.0, 3495.0, 5895.0], 
[9225.0, 5055.0, 5310.0, 4965.0, 5790.0, 4950.0, 5520.0, 3915.0, 5040.0, 4995.0, 4170.0, 1260.0, 555.0, 480.0, 450.0, 0.0, 1020.0, 510.0, 12060.0, 12540.0, 12225.0, 12510.0, 5640.0, 4890.0, 5460.0, 4845.0, 9915.0, 5115.0, 4470.0, 8970.0, 7770.0, 9000.0, 8910.0, 9030.0, 8805.0, 8790.0, 3435.0, 3615.0, 3945.0, 6360.0], 
[9285.0, 6000.0, 6255.0, 5910.0, 6735.0, 5895.0, 6465.0, 4860.0, 5985.0, 5940.0, 5115.0, 330.0, 480.0, 555.0, 1395.0, 1020.0, 0.0, 525.0, 12045.0, 12525.0, 12195.0, 12480.0, 6585.0, 5835.0, 6405.0, 5790.0, 9915.0, 6060.0, 5415.0, 9915.0, 8715.0, 9960.0, 9855.0, 9975.0, 9750.0, 9735.0, 3930.0, 4560.0, 4890.0, 7290.0], 
