[49,468820,0,14,20]
[0, 41020, 31505, 4867, 11838, 33649, 5794, 10253, 45618, 32676, 26835, 11511, 22606, 18193, 6463, 4774, 18266, 20882, 20777, 27943, 9023, 8467, 17610, 5145, 8506, 8185, 29402, 20848, 15373, 11703, 14206, 5393, 19688, 28086, 41637, 20207, 36765, 34460, 22920, 27920, 30245, 9166, 22677, 36603, 22473, 21499, 13400, 8462, 19215, 11658]
[0, 6112, 1477, 9262, 10143, 24178, 1558, 1974, 11060, 3415, 10203, 21510, 39012, 3430, 1652, 10188, 18424, 3472, 16869, 15404, 11546, 7648, 15841, 7747, 15856, 3782, 23005, 7524, 7263, 3121, 2305, 5737, 2370, 37431, 739, 2492, 38463, 16298, 7842, 16711, 25860, 10906, 14384, 12679, 10808, 10728, 27058, 6447, 8799, 1944]
[604800, 7183, 2854, 14119, 11314, 24770, 4342, 2608, 13064, 4925, 11164, 23178, 42271, 3983, 3030, 13470, 19357, 9994, 21748, 16632, 12250, 9256, 18028, 10357, 19195, 6503, 24448, 8767, 10756, 7573, 5075, 7078, 3276, 38385, 2728, 3055, 38992, 17834, 8712, 17936, 26938, 13318, 16106, 13951, 11449, 13924, 28928, 10858, 9426, 7659]
[0, 25, 24, 14, 14, 22, 12, 13, 26, 23, 20, 14, 18, 17, 15, 11, 18, 21, 19, 22, 15, 12, 19, 15, 13, 16, 19, 20, 19, 15, 16, 12, 19, 20, 25, 18, 23, 25, 18, 21, 23, 12, 20, 22, 19, 20, 17, 15, 19, 16]
[[0.0, 7125.0, 7905.0, 7845.0, 8325.0, 7950.0, 7230.0, 6945.0, 6510.0, 8670.0, 7230.0, 8100.0, 8625.0, 7635.0, 6750.0, 7620.0, 4350.0, 8730.0, 8880.0, 9870.0, 4470.0, 5715.0, 5385.0, 4695.0, 5505.0, 5595.0, 6045.0, 5310.0, 5685.0, 5610.0, 6300.0, 5565.0, 5445.0, 4950.0, 2895.0, 11355.0, 10290.0, 10665.0, 11415.0, 10680.0, 10605.0, 10650.0, 10800.0, 11070.0, 10665.0, 10800.0, 7020.0, 10650.0, 6480.0, 3375.0], 
[7125.0, 0.0, 1065.0, 990.0, 1485.0, 1110.0, 210.0, 1380.0, 645.0, 1830.0, 270.0, 1245.0, 1785.0, 795.0, 405.0, 780.0, 7110.0, 4995.0, 4065.0, 4140.0, 10815.0, 12060.0, 11745.0, 11055.0, 11850.0, 11940.0, 12390.0, 11670.0, 12045.0, 1890.0, 855.0, 1920.0, 2760.0, 2490.0, 9255.0, 5205.0, 4065.0, 9990.0, 8790.0, 10020.0, 9915.0, 10035.0, 9810.0, 9135.0, 10020.0, 9810.0, 4905.0, 4650.0, 675.0, 3390.0], 
[7905.0, 1065.0, 0.0, 120.0, 480.0, 120.0, 945.0, 2175.0, 1425.0, 1005.0, 870.0, 420.0, 780.0, 330.0, 1185.0, 315.0, 7905.0, 5790.0, 4845.0, 4905.0, 11595.0, 12855.0, 12525.0, 11835.0, 12630.0, 12735.0, 13185.0, 12450.0, 12825.0, 2685.0, 1650.0, 2700.0, 3555.0, 3285.0, 10035.0, 5655.0, 4470.0, 10590.0, 9390.0, 10620.0, 10515.0, 10635.0, 10410.0, 9735.0, 10620.0, 10410.0, 5700.0, 5250.0, 1455.0, 4170.0], 
[7845.0, 990.0, 120.0, 0.0, 525.0, 165.0, 870.0, 2100.0, 1350.0, 1005.0, 795.0, 405.0, 825.0, 255.0, 1110.0, 240.0, 7830.0, 5715.0, 4785.0, 4830.0, 11535.0, 12780.0, 12465.0, 11760.0, 12570.0, 12660.0, 13110.0, 12375.0, 12750.0, 2610.0, 1575.0, 2625.0, 3480.0, 3210.0, 9960.0, 5625.0, 4440.0, 10515.0, 9315.0, 10545.0, 10440.0, 10560.0, 10335.0, 9660.0, 10545.0, 10335.0, 5625.0, 5190.0, 1380.0, 4095.0], 
[8325.0, 1485.0, 480.0, 525.0, 0.0, 465.0, 1365.0, 2595.0, 1845.0, 1290.0, 1290.0, 690.0, 435.0, 750.0, 1605.0, 735.0, 8310.0, 6195.0, 5265.0, 5325.0, 12015.0, 13275.0, 12945.0, 12255.0, 13050.0, 13155.0, 13605.0, 12870.0, 13245.0, 3105.0, 2070.0, 3120.0, 3960.0, 3705.0, 10455.0, 6015.0, 4830.0, 10995.0, 9795.0, 11025.0, 10920.0, 11040.0, 10815.0, 10140.0, 11025.0, 10815.0, 6105.0, 5670.0, 1875.0, 4590.0], 
[7950.0, 1110.0, 120.0, 165.0, 465.0, 0.0, 990.0, 2220.0, 1470.0, 1035.0, 915.0, 435.0, 765.0, 375.0, 1230.0, 360.0, 7935.0, 5835.0, 4890.0, 4950.0, 11640.0, 12900.0, 12570.0, 11880.0, 12675.0, 12780.0, 13230.0, 12495.0, 12870.0, 2730.0, 1695.0, 2745.0, 3585.0, 3330.0, 10080.0, 5700.0, 4500.0, 10635.0, 9435.0, 10665.0, 10560.0, 10680.0, 10455.0, 9780.0, 10665.0, 10455.0, 5745.0, 5295.0, 1500.0, 4215.0], 
